days_since_last_login,avg_catalogs_opened,products_in_tariff,manager_interactions,avg_time_in_product,total_products_purchased,support_satisfaction,days_until_sub_end,risk_score
102,8.0,3,8,110,1,1.7,270,5
179,4.5,4,7,34,7,1.5,221,5
92,2.1,5,2,48,2,2.5,306,5
14,5.0,5,9,59,7,2.2,309,1
106,1.0,3,4,75,7,2.1,107,8
71,9.5,4,2,22,1,2.9,330,5
20,1.2,5,4,87,6,4.7,27,7
102,4.7,5,8,83,4,3.3,196,4
121,5.5,2,3,107,7,3.1,199,4
74,9.9,2,5,112,7,4.2,153,4
87,2.1,1,2,90,4,1.0,69,5
116,1.6,3,2,43,2,1.8,159,8
99,0.6,4,4,46,5,3.0,351,7
103,2.0,5,7,58,3,3.8,102,4
151,2.5,5,7,34,1,2.9,235,5
130,6.5,1,2,24,6,1.7,188,5
149,2.6,5,7,100,5,4.7,342,4
52,0.7,3,7,46,6,2.3,360,8
1,8.4,1,2,93,5,4.2,108,0
87,4.0,3,9,91,1,4.6,336,4
157,3.9,1,9,9,3,2.4,300,7
37,3.4,5,1,54,1,4.4,254,4
129,9.8,1,9,45,3,3.8,315,4
20,2.1,2,1,98,6,4.6,192,4
160,9.0,4,8,116,2,2.0,70,5
57,7.9,5,6,43,3,4.7,268,4
21,1.2,4,5,61,5,1.3,333,8
88,9.9,5,6,95,2,4.2,208,4
48,3.1,4,7,61,6,2.7,175,5
58,1.4,2,0,110,4,1.7,238,10
169,8.4,4,7,41,2,1.3,97,5
14,7.2,1,2,11,3,2.6,346,3
174,6.4,4,2,9,2,2.6,88,7
50,2.0,5,5,83,6,1.9,251,5
107,5.0,3,3,55,2,1.9,98,5
54,7.9,4,3,110,6,2.6,328,5
63,3.4,4,3,12,4,2.6,325,7
130,3.5,4,9,60,3,2.8,153,5
50,0.5,5,8,77,7,4.5,294,7
134,2.2,4,7,15,5,3.4,282,4
20,8.8,5,2,26,2,1.1,295,5
72,4.7,5,0,102,7,3.1,30,6
166,9.9,3,0,103,1,4.0,130,6
17,4.3,1,0,81,5,1.2,215,7
131,7.3,5,3,15,2,2.7,14,5
88,3.2,2,5,64,5,2.8,325,5
59,4.0,4,3,100,7,4.8,266,4
13,2.3,2,2,110,1,2.9,285,1
8,3.8,4,7,19,5,4.0,290,0
89,5.7,3,7,42,7,2.2,42,5
52,9.9,5,5,5,5,4.1,167,6
129,6.8,1,8,50,1,2.3,348,5
83,2.4,5,9,118,1,2.7,254,5
91,0.9,4,0,92,1,2.9,169,10
110,1.7,1,7,47,4,4.7,258,7
171,5.8,5,5,108,6,1.2,345,5
7,7.8,1,0,26,6,1.8,77,3
174,9.4,4,3,7,7,3.8,338,6
34,0.7,3,4,18,1,3.3,84,7
80,5.5,3,6,6,7,2.0,148,7
163,5.0,5,7,65,6,2.2,200,5
49,6.7,2,8,36,5,2.5,76,5
103,5.8,4,5,116,1,2.8,360,5
131,7.0,5,9,42,2,4.3,249,4
1,6.8,5,8,101,1,1.1,52,1
133,1.6,3,3,50,1,4.6,299,7
53,8.1,1,7,46,6,2.7,301,5
105,1.7,4,2,10,7,1.9,292,10
3,7.1,1,3,45,3,3.0,293,0
53,4.5,4,9,107,5,3.6,108,4
145,5.4,2,3,29,6,1.2,364,5
43,9.1,3,5,102,7,3.9,87,4
161,9.0,2,8,15,7,4.0,165,4
13,8.3,5,5,114,5,1.7,266,1
94,5.3,3,0,105,7,1.7,92,7
47,7.5,5,4,45,2,1.8,172,5
14,5.4,2,8,75,4,4.2,63,0
39,8.8,4,4,61,3,2.1,125,5
81,4.3,5,5,50,2,4.2,229,4
110,9.7,1,2,116,2,3.2,104,4
52,9.4,4,7,90,5,4.1,208,4
23,7.5,4,9,52,3,3.2,61,4
153,3.2,2,3,67,5,2.3,239,5
123,1.8,2,3,43,4,4.6,60,7
40,8.6,3,4,14,7,3.9,345,6
156,2.1,3,9,89,5,2.9,11,5
14,8.6,1,8,74,1,3.5,136,0
44,5.2,4,7,117,5,3.5,194,4
64,4.4,1,6,69,7,2.4,73,5
88,9.1,1,4,102,1,2.7,362,5
70,6.2,2,8,63,2,2.3,135,5
8,6.0,1,8,82,4,5.0,42,0
87,5.8,1,9,40,7,3.3,38,4
128,4.0,5,9,31,6,1.4,30,5
135,8.0,3,1,77,1,3.1,141,4
62,2.9,3,3,59,4,1.2,319,5
138,9.4,4,7,74,5,2.2,358,5
80,9.0,3,0,99,6,2.8,352,7
135,3.7,4,4,85,5,3.1,43,4
162,7.4,5,7,57,7,4.9,187,4
162,5.9,3,1,111,2,4.9,352,4
32,3.7,5,1,64,7,1.4,1,6
122,9.9,3,7,65,7,3.2,291,4
4,0.7,3,9,40,7,4.3,310,3
40,2.9,5,8,89,5,2.0,342,5
27,5.4,1,6,31,1,4.0,324,4
134,5.5,1,7,45,2,4.5,335,4
71,6.1,1,4,32,4,3.6,295,4
11,7.6,1,0,20,2,2.3,23,3
161,6.4,3,3,39,4,4.7,103,4
32,6.2,2,1,40,3,4.5,61,4
47,1.0,5,2,60,1,3.9,152,7
150,4.1,2,2,103,1,2.5,262,5
61,2.7,2,8,113,4,4.2,293,4
36,3.0,4,9,23,5,2.3,242,5
98,5.8,1,3,61,6,2.0,341,5
171,2.4,3,1,89,5,3.1,341,4
103,3.3,1,2,37,3,5.0,346,4
34,2.8,1,2,27,4,4.2,120,4
100,9.5,2,6,67,3,3.9,352,4
174,9.5,4,7,74,4,2.8,172,5
130,6.3,1,5,100,3,2.2,102,5
0,9.3,5,3,26,4,4.4,159,0
4,8.0,5,5,71,1,3.3,256,0
141,6.1,1,0,103,3,4.3,201,6
102,0.6,2,9,84,3,3.0,44,7
26,7.8,2,7,110,4,4.0,63,4
136,7.2,3,0,63,2,4.5,195,6
14,6.3,4,4,29,2,2.6,69,1
89,7.7,2,1,21,1,1.1,180,5
41,5.4,3,5,43,5,2.0,330,5
123,7.2,5,8,81,5,4.7,246,4
178,9.4,5,4,96,1,3.8,328,4
62,4.1,5,3,79,5,3.9,157,4
95,7.2,1,1,78,6,2.3,185,5
51,5.0,4,2,43,6,3.8,230,4
95,6.9,3,5,28,6,3.6,72,4
131,7.7,4,7,42,7,1.7,54,5
150,0.9,1,7,92,7,4.9,242,7
142,6.6,3,4,101,6,2.4,301,5
170,2.7,3,4,85,4,2.3,352,5
28,6.9,2,9,61,2,2.5,214,5
35,4.9,4,2,48,1,1.4,14,5
12,7.8,4,6,40,4,3.5,146,0
159,1.7,2,5,103,6,2.0,143,8
70,6.5,5,0,74,1,4.2,24,6
85,3.1,1,3,84,2,2.6,98,5
27,8.6,4,5,49,5,2.8,178,5
65,9.3,2,5,96,4,3.6,332,4
169,10.0,3,2,109,2,4.0,173,4
44,8.1,2,5,100,1,1.9,262,5
61,7.7,5,9,30,3,4.9,289,4
133,2.5,1,5,15,4,3.5,57,4
27,3.7,5,8,56,7,1.0,333,5
27,4.9,3,8,29,1,2.7,278,5
107,7.8,3,1,35,1,2.7,144,5
43,9.2,3,3,89,7,4.2,121,4
